weightPerServing,veryHealthy,calories,Fat/g,Carbohydrates/g,Cholesterol/mg,Sodium/mg,Protein/g
277,FALSE,530.91,19.08,76.19,11.78,1496.63,14.14
457,TRUE,431.78,15.82,17.44,154.95,403.46,53.2
6953,TRUE,9869.93,456.15,813.78,2068.4,8501.27,578.32
210,FALSE,318.69,24.45,21.66,20.72,214.83,8.17
1757,FALSE,2297.57,135.35,216.64,3.6,2923.7,65.31
499,FALSE,325.85,23.67,22.75,65.0,245.19,13.85
154,FALSE,440.07,40.29,14.6,15.47,521.77,7.85
77,FALSE,219.54,20.96,4.2,15.17,100.09,4.03
13,FALSE,39.72,3.96,0.84,10.77,5.89,0.4
748,TRUE,1737.53,21.84,323.72,7.2,66.93,59.87
102,FALSE,119.27,5.53,14.34,3.84,447.46,3.42
113,FALSE,503.24,54.61,4.03,0.6,329.0,1.87
330,FALSE,482.61,22.66,48.9,40.2,1424.89,21.43
256,TRUE,404.24,14.33,58.42,1.27,273.53,12.53
156,FALSE,287.02,22.37,8.91,27.52,1148.07,11.19
210,FALSE,201.07,14.12,16.96,13.96,521.18,3.59
675,FALSE,631.37,16.87,107.88,49.2,750.07,16.28
514,FALSE,446.03,24.08,29.66,246.32,1818.54,31.15
196,FALSE,454.87,20.12,43.85,108.57,828.29,24.48
206,FALSE,369.84,31.99,4.82,421.85,497.01,15.44
90,FALSE,162.56,14.2,3.37,15.59,819.83,6.68
433,FALSE,388.7,19.94,27.42,222.11,1484.28,22.76
152,FALSE,224.8,14.31,19.28,20.07,180.63,5.57
132,FALSE,172.79,12.2,6.36,214.42,394.66,9.4
704,TRUE,663.02,39.53,37.51,92.92,897.27,43.2
92,FALSE,135.41,10.28,4.25,10.28,904.3,7.95
271,FALSE,1126.02,100.79,37.69,108.39,2300.46,23.84
247,TRUE,132.12,8.04,11.31,0.12,253.32,5.92
23,FALSE,24.61,1.5,1.0,2.29,351.17,0.71
145,FALSE,190.88,18.37,5.3,2.4,230.22,3.5
132,FALSE,265.28,24.37,6.6,16.74,486.68,5.56
69,FALSE,282.07,25.2,9.56,27.1,575.19,5.97
209,FALSE,696.02,20.45,106.89,0.0,726.86,19.92
188,FALSE,263.85,18.43,20.65,3.01,258.38,5.66
1370,TRUE,2835.41,110.21,350.92,238.14,1658.09,113.86
202,FALSE,608.62,65.7,7.2,4.0,2099.42,2.98
127,FALSE,101.01,7.04,9.03,1.6,440.3,2.56
424,TRUE,896.58,29.25,116.57,63.5,2051.43,43.12
272,FALSE,194.19,10.49,21.83,0.85,379.57,6.83
436,FALSE,477.94,33.58,26.22,186.29,637.86,19.35
152,TRUE,98.24,7.69,4.8,47.83,142.93,3.63
1091,FALSE,490.19,24.12,64.43,62.6,568.26,14.4
220,FALSE,196.25,3.58,3.02,87.0,2114.22,38.22
167,FALSE,337.08,30.18,15.23,26.18,210.5,4.36
389,FALSE,74.45,0.89,16.51,0.6,807.29,3.52
82,FALSE,49.88,2.75,4.81,1.52,229.48,1.55
78,FALSE,155.56,12.5,2.59,15.96,346.96,8.69
32,FALSE,60.34,4.8,1.37,10.71,172.48,2.74
172,FALSE,440.59,43.3,6.25,8.87,1593.72,4.43
4,FALSE,9.37,0.61,0.39,1.38,207.52,0.6
506,FALSE,758.48,45.42,62.51,92.81,1067.64,24.59
620,TRUE,223.56,13.24,21.75,15.8,319.39,10.93
167,FALSE,501.2,43.63,3.03,133.31,446.05,23.57
214,FALSE,397.34,30.39,18.28,22.1,2189.53,15.22
558,TRUE,263.28,16.52,27.63,6.58,359.55,7.35
148,TRUE,590.1,18.55,88.47,1.27,365.82,17.93
56,FALSE,132.01,10.48,4.85,99.96,302.86,4.62
105,FALSE,189.7,12.9,1.94,48.45,2837.68,16.98
531,FALSE,741.6,67.24,16.77,112.83,951.13,23.08
236,TRUE,712.04,21.3,97.39,4.0,571.4,36.33
418,FALSE,591.76,34.0,56.76,22.74,506.85,15.22
83,FALSE,215.55,18.95,3.94,52.56,355.71,8.96
545,FALSE,725.21,34.56,21.79,225.29,910.57,78.84
230,FALSE,368.07,5.8,67.19,2.4,627.68,13.13
614,TRUE,1157.19,26.37,180.91,20.4,802.98,51.25
79,FALSE,189.09,16.0,1.28,115.81,594.79,9.81
143,FALSE,467.83,34.82,33.94,10.03,291.01,6.2
1204,TRUE,1235.02,48.75,142.94,37.28,1699.48,68.07
452,FALSE,423.96,34.11,20.48,27.54,1009.19,11.79
33,FALSE,60.41,3.72,4.39,3.4,321.7,2.62
206,FALSE,422.95,34.02,7.57,76.75,1038.17,23.15
175,FALSE,301.1,17.63,1.67,124.07,519.22,32.52
231,FALSE,362.81,18.7,19.62,91.65,681.55,28.78
165,FALSE,78.83,0.92,14.72,0.8,765.06,3.47
59,FALSE,276.85,29.17,1.22,20.21,675.3,2.54
462,TRUE,673.8,13.19,118.03,3.2,943.69,24.6
582,FALSE,485.03,34.56,28.64,32.62,2010.09,17.52
485,FALSE,377.57,22.45,33.36,190.1,550.31,14.3
305,FALSE,669.97,44.3,38.38,108.43,1186.58,30.92
172,FALSE,772.07,41.01,88.48,39.48,1198.6,12.97
53,FALSE,172.98,8.89,19.57,0.8,294.89,4.05
572,FALSE,708.54,48.25,22.6,238.55,1083.64,44.51
334,TRUE,671.29,27.53,89.44,3.2,1394.34,18.37
837,TRUE,3229.91,96.35,490.41,606.86,1419.9,99.02
241,FALSE,735.64,33.11,89.34,18.19,337.14,19.75
335,TRUE,817.34,66.24,20.21,410.6,1506.5,43.92
187,FALSE,676.27,21.59,101.54,0.0,1107.83,18.46
2831,FALSE,8069.09,217.39,1316.19,233.1,15689.03,247.2
126,FALSE,137.3,8.6,10.82,10.77,411.62,4.25
253,FALSE,653.94,53.28,23.24,94.81,719.35,24.68
92,FALSE,653.08,72.42,1.51,4.8,591.72,1.85
143,FALSE,594.49,19.81,86.91,3.6,46.83,16.52
25,FALSE,65.19,3.98,5.78,0.74,196.77,1.3
398,FALSE,728.5,23.77,99.22,21.6,830.51,31.46
929,TRUE,821.23,44.31,33.73,188.31,488.82,78.02
1273,TRUE,1663.91,77.0,42.95,546.54,2058.64,195.57
309,FALSE,545.76,40.86,21.83,191.06,700.5,24.59
277,FALSE,521.77,39.15,4.69,159.26,303.62,36.47
232,FALSE,284.76,17.94,25.14,4.25,567.83,7.44
119,FALSE,198.75,18.18,6.64,39.55,268.41,4.41
407,FALSE,713.18,38.7,38.11,215.13,593.66,52.0
289,FALSE,632.31,43.71,47.09,118.0,631.93,15.13
183,FALSE,171.56,13.78,5.16,32.87,813.46,6.11
39,FALSE,110.88,3.41,16.36,0.3,226.72,2.99
175,FALSE,141.19,11.15,7.85,26.01,97.89,4.05
1758,FALSE,102.91,1.85,14.2,14.4,4804.53,11.53
314,FALSE,786.5,76.24,15.13,185.5,263.85,11.81
336,FALSE,340.11,10.21,6.47,138.05,197.75,45.57
395,TRUE,661.36,41.44,4.32,201.6,1186.44,65.84
215,TRUE,237.88,14.93,22.53,1.2,217.23,7.05
391,TRUE,517.63,28.65,3.05,148.8,515.16,59.37
247,FALSE,239.28,19.96,12.32,4.81,330.34,6.18
664,FALSE,849.63,47.35,20.93,187.3,896.59,50.5
166,FALSE,191.21,5.6,27.16,14.37,504.18,7.47
333,FALSE,316.56,21.1,19.78,215.5,288.03,13.34
135,TRUE,259.84,11.87,26.1,9.0,53.66,13.45
329,FALSE,274.72,10.99,31.81,43.68,917.16,13.96
664,TRUE,282.95,8.07,28.08,57.9,997.99,29.21
193,FALSE,730.64,10.23,132.69,3.6,66.23,24.43
287,FALSE,341.65,21.69,24.36,215.02,746.45,14.22
216,FALSE,687.21,72.54,5.09,45.58,632.67,3.82
342,FALSE,905.9,84.07,15.84,207.1,746.49,22.93
178,FALSE,548.78,57.14,6.17,7.2,119.12,3.8
259,FALSE,214.59,13.09,15.9,61.66,486.56,9.94
649,TRUE,544.9,39.87,43.94,5.3,731.63,8.76
876,TRUE,2291.2,63.25,358.62,14.4,909.51,71.21
365,FALSE,536.29,24.28,66.86,1.6,1143.14,14.91
36,FALSE,25.16,1.33,2.94,0.0,364.11,0.48
261,FALSE,545.63,20.16,67.19,92.27,764.83,23.74
207,FALSE,476.89,34.83,36.21,4.8,240.88,8.17
261,FALSE,451.05,31.1,31.21,15.48,1084.53,9.41
214,FALSE,399.68,24.59,37.34,3.6,304.14,9.08
583,FALSE,514.57,20.31,15.71,372.81,2439.52,59.99
165,FALSE,78.83,0.92,14.72,0.8,765.06,3.47
94,FALSE,409.06,28.02,28.34,88.64,354.86,10.82
190,FALSE,241.49,15.51,21.46,3.5,189.48,5.7
54,FALSE,24.33,0.2,2.0,2.07,17.54,3.9
650,TRUE,263.81,16.68,21.92,1.2,147.59,17.16
430,TRUE,736.49,38.3,7.22,260.81,239.36,87.68
178,FALSE,448.26,34.84,24.64,59.71,755.11,10.71
317,FALSE,268.81,18.56,21.79,6.02,433.25,6.07
292,FALSE,709.35,12.92,124.95,13.38,228.6,22.44
53,FALSE,84.98,7.56,3.23,3.4,28.37,1.63
280,TRUE,262.23,8.67,38.7,3.6,350.15,9.74
514,TRUE,286.83,9.58,40.92,6.5,984.66,15.57
459,TRUE,816.2,28.05,101.73,52.73,718.89,36.07
36,FALSE,28.07,1.9,2.58,0.01,276.0,0.38
170,FALSE,600.87,18.02,87.56,27.15,265.69,21.05
343,TRUE,657.91,44.09,23.46,87.46,504.04,42.63
